,precision,recall,f1-score,support
喝,1.0,1.0,1.0,7.0
喪,1.0,1.0,1.0,7.0
喬,1.0,1.0,1.0,10.0
單,1.0,1.0,1.0,6.0
喲,1.0,1.0,1.0,6.0
喻,1.0,1.0,1.0,17.0
嗎,1.0,1.0,1.0,16.0
嗓,1.0,1.0,1.0,6.0
嗣,1.0,1.0,1.0,17.0
嗯,1.0,1.0,1.0,7.0
嘆,1.0,1.0,1.0,17.0
嘉,1.0,1.0,1.0,10.0
嘗,0.9444444444444444,1.0,0.9714285714285714,17.0
嘛,1.0,1.0,1.0,6.0
嘩,1.0,1.0,1.0,7.0
嘲,0.9411764705882353,1.0,0.9696969696969697,16.0
嘴,1.0,1.0,1.0,16.0
嘻,1.0,1.0,1.0,16.0
嘿,1.0,0.8333333333333334,0.9090909090909091,6.0
噠,1.0,1.0,1.0,6.0
噢,1.0,1.0,1.0,6.0
器,1.0,1.0,1.0,10.0
噪,1.0,1.0,1.0,6.0
噴,1.0,1.0,1.0,7.0
噸,1.0,1.0,1.0,7.0
嚇,1.0,1.0,1.0,7.0
嚦,1.0,1.0,1.0,6.0
嚴,1.0,1.0,1.0,6.0
嚷,1.0,1.0,1.0,6.0
囂,1.0,1.0,1.0,6.0
囊,1.0,1.0,1.0,6.0
囑,1.0,1.0,1.0,6.0
四,1.0,0.7142857142857143,0.8333333333333333,7.0
回,0.9444444444444444,1.0,0.9714285714285714,17.0
因,1.0,1.0,1.0,7.0
囪,1.0,1.0,1.0,17.0
困,1.0,1.0,1.0,7.0
固,1.0,1.0,1.0,7.0
圃,1.0,1.0,1.0,7.0
圈,1.0,0.8333333333333334,0.9090909090909091,6.0
國,1.0,1.0,1.0,10.0
圍,1.0,0.6666666666666666,0.8,6.0
園,1.0,1.0,1.0,10.0
圓,1.0,1.0,1.0,10.0
圖,1.0,0.9,0.9473684210526316,10.0
團,1.0,1.0,1.0,10.0
圜,0.75,1.0,0.8571428571428571,6.0
土,1.0,0.9,0.9473684210526316,10.0
在,0.875,1.0,0.9333333333333333,7.0
地,1.0,1.0,1.0,10.0
址,1.0,1.0,1.0,16.0
均,0.9444444444444444,1.0,0.9714285714285714,17.0
坊,1.0,1.0,1.0,10.0
坎,1.0,1.0,1.0,6.0
坐,1.0,1.0,1.0,7.0
坑,1.0,1.0,1.0,17.0
坡,0.8571428571428571,1.0,0.923076923076923,6.0
坤,1.0,1.0,1.0,10.0
