,precision,recall,f1-score,support
照,1.0,0.8,0.888888888888889,10.0
燕,0.9090909090909091,1.0,0.9523809523809523,10.0
營,1.0,1.0,1.0,10.0
燦,1.0,1.0,1.0,10.0
燿,1.0,1.0,1.0,10.0
爾,1.0,1.0,1.0,10.0
牙,1.0,1.0,1.0,10.0
物,1.0,1.0,1.0,10.0
特,1.0,1.0,1.0,10.0
玉,0.9090909090909091,1.0,0.9523809523809523,10.0
王,1.0,0.9,0.9473684210526316,10.0
玫,1.0,1.0,1.0,10.0
玲,1.0,0.9,0.9473684210526316,10.0
玻,1.0,1.0,1.0,10.0
珊,1.0,1.0,1.0,10.0
珍,1.0,1.0,1.0,10.0
珠,0.9090909090909091,1.0,0.9523809523809523,10.0
班,1.0,1.0,1.0,10.0
珮,1.0,1.0,1.0,10.0
球,1.0,0.9,0.9473684210526316,10.0
理,1.0,1.0,1.0,10.0
琇,1.0,1.0,1.0,10.0
琦,1.0,1.0,1.0,10.0
琪,1.0,1.0,1.0,10.0
琳,1.0,1.0,1.0,10.0
琴,1.0,1.0,1.0,10.0
瑄,1.0,1.0,1.0,10.0
瑋,1.0,1.0,1.0,10.0
瑛,1.0,1.0,1.0,10.0
瑜,1.0,1.0,1.0,10.0
瑞,1.0,1.0,1.0,10.0
瑩,1.0,1.0,1.0,10.0
璃,1.0,1.0,1.0,10.0
璟,1.0,1.0,1.0,10.0
環,1.0,1.0,1.0,10.0
瓊,1.0,1.0,1.0,10.0
生,1.0,1.0,1.0,10.0
產,1.0,1.0,1.0,10.0
用,1.0,1.0,1.0,10.0
田,1.0,1.0,1.0,10.0
申,1.0,1.0,1.0,10.0
男,1.0,1.0,1.0,10.0
療,1.0,1.0,1.0,10.0
登,1.0,1.0,1.0,10.0
發,1.0,1.0,1.0,10.0
白,0.9090909090909091,1.0,0.9523809523809523,10.0
百,0.9,0.9,0.9,10.0
皇,1.0,1.0,1.0,10.0
皓,1.0,1.0,1.0,10.0
盈,1.0,1.0,1.0,10.0
益,1.0,1.0,1.0,10.0
盛,1.0,1.0,1.0,10.0
盟,1.0,1.0,1.0,10.0
盧,1.0,1.0,1.0,10.0
真,1.0,1.0,1.0,10.0
眾,1.0,1.0,1.0,10.0
睿,1.0,1.0,1.0,10.0
石,1.0,1.0,1.0,10.0
研,1.0,1.0,1.0,10.0
碧,1.0,1.0,1.0,10.0
碩,1.0,1.0,1.0,10.0
磊,1.0,1.0,1.0,10.0
社,1.0,1.0,1.0,10.0
祐,1.0,1.0,1.0,10.0
神,1.0,1.0,1.0,10.0
祥,1.0,1.0,1.0,10.0
祺,1.0,1.0,1.0,10.0
禎,1.0,1.0,1.0,10.0
福,1.0,1.0,1.0,10.0
禮,1.0,1.0,1.0,10.0
禾,1.0,1.0,1.0,10.0
秀,1.0,1.0,1.0,10.0
私,1.0,1.0,1.0,10.0
秉,1.0,1.0,1.0,10.0
秋,1.0,1.0,1.0,10.0
科,1.0,1.0,1.0,10.0
租,1.0,1.0,1.0,10.0
秦,1.0,1.0,1.0,10.0
程,1.0,1.0,1.0,10.0
穎,1.0,1.0,1.0,10.0
空,1.0,1.0,1.0,10.0
立,1.0,1.0,1.0,10.0
竑,1.0,1.0,1.0,10.0
章,1.0,1.0,1.0,10.0
竣,1.0,1.0,1.0,10.0
竹,1.0,1.0,1.0,10.0
策,1.0,1.0,1.0,10.0
筱,1.0,1.0,1.0,10.0
管,1.0,1.0,1.0,10.0
築,1.0,1.0,1.0,10.0
簡,1.0,1.0,1.0,10.0
籌,1.0,1.0,1.0,10.0
米,1.0,1.0,1.0,10.0
精,1.0,1.0,1.0,10.0
系,1.0,1.0,1.0,10.0
紀,1.0,1.0,1.0,10.0
紅,1.0,1.0,1.0,10.0
紋,1.0,1.0,1.0,10.0
純,1.0,1.0,1.0,10.0
紘,1.0,1.0,1.0,10.0
紙,1.0,0.9,0.9473684210526316,10.0
素,1.0,1.0,1.0,10.0
紹,1.0,1.0,1.0,10.0
統,1.0,1.0,1.0,10.0
絲,1.0,0.9,0.9473684210526316,10.0
經,1.0,1.0,1.0,10.0
綠,1.0,1.0,1.0,10.0
維,1.0,1.0,1.0,10.0
網,1.0,1.0,1.0,10.0
綸,1.0,1.0,1.0,10.0
綺,1.0,1.0,1.0,10.0
緯,1.0,1.0,1.0,10.0
縣,1.0,1.0,1.0,10.0
總,1.0,1.0,1.0,10.0
織,1.0,1.0,1.0,10.0
羅,1.0,1.0,1.0,10.0
美,1.0,1.0,1.0,10.0
群,1.0,1.0,1.0,10.0
義,1.0,1.0,1.0,10.0
羽,1.0,1.0,1.0,10.0
翁,1.0,1.0,1.0,10.0
翊,1.0,1.0,1.0,10.0
翔,1.0,1.0,1.0,10.0
翠,1.0,1.0,1.0,10.0
翰,1.0,1.0,1.0,10.0
耀,1.0,1.0,1.0,10.0
聖,1.0,1.0,1.0,10.0
聚,1.0,1.0,1.0,10.0
聯,1.0,1.0,1.0,10.0
聰,1.0,1.0,1.0,10.0
聲,1.0,1.0,1.0,10.0
職,1.0,1.0,1.0,10.0
股,1.0,1.0,1.0,10.0
育,1.0,0.9,0.9473684210526316,10.0
胡,1.0,1.0,1.0,10.0
能,1.0,1.0,1.0,10.0
腦,1.0,1.0,1.0,10.0
膠,1.0,1.0,1.0,10.0
自,0.8888888888888888,0.8,0.8421052631578948,10.0
致,1.0,1.0,1.0,10.0
臺,1.0,1.0,1.0,10.0
臻,1.0,1.0,1.0,10.0
興,1.0,1.0,1.0,10.0
舒,1.0,1.0,1.0,10.0
舜,1.0,1.0,1.0,10.0
航,1.0,1.0,1.0,10.0
良,1.0,1.0,1.0,10.0
色,1.0,0.9,0.9473684210526316,10.0
艾,1.0,1.0,1.0,10.0
芝,1.0,0.9,0.9473684210526316,10.0
芬,1.0,1.0,1.0,10.0
花,0.9090909090909091,1.0,0.9523809523809523,10.0
芳,0.9090909090909091,1.0,0.9523809523809523,10.0
芷,1.0,1.0,1.0,10.0
芸,1.0,1.0,1.0,10.0
苑,1.0,0.9,0.9473684210526316,10.0
苗,1.0,1.0,1.0,10.0
若,1.0,1.0,1.0,10.0
英,0.9090909090909091,1.0,0.9523809523809523,10.0
茂,0.9090909090909091,1.0,0.9523809523809523,10.0
范,0.9090909090909091,1.0,0.9523809523809523,10.0
茶,1.0,1.0,1.0,10.0
茹,1.0,1.0,1.0,10.0
莉,1.0,1.0,1.0,10.0
莊,1.0,1.0,1.0,10.0
菁,1.0,1.0,1.0,10.0
菊,1.0,1.0,1.0,10.0
華,1.0,1.0,1.0,10.0
菱,1.0,1.0,1.0,10.0
